Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2017-10-08,Jeepers Creepers,2001,https://letterboxd.com/jojonium/film/jeepers-creepers/,3.5,hooptober4.0,2017-10-08
2017-10-09,Jeepers Creepers 2,2003,https://letterboxd.com/jojonium/film/jeepers-creepers-2/,2,hooptober4.0,2017-10-08
2017-10-10,From Beyond,1986,https://letterboxd.com/jojonium/film/from-beyond/,3.5,hooptober4.0,2017-10-09
2017-10-11,Assaulted: Civil Rights Under Fire,2013,https://letterboxd.com/jojonium/film/assaulted-civil-rights-under-fire/,3,amazon prime,2017-10-10
2017-10-11,Escape,1937,https://letterboxd.com/jojonium/film/escape-1937/,2.5,youtube,2017-10-10
2017-10-11,The Thing,1982,https://letterboxd.com/jojonium/film/the-thing/1/,5,hooptober4.0,2017-10-10
2017-10-12,The Thing,2011,https://letterboxd.com/jojonium/film/the-thing-2011/,1.5,hooptober4.0,2017-10-11
2017-10-12,Wind River,2017,https://letterboxd.com/jojonium/film/wind-river-2017/,3.5,,2017-10-11
2017-10-15,Night of the Living Dead,1968,https://letterboxd.com/jojonium/film/night-of-the-living-dead/,4,hooptober4.0,2017-10-14
2017-10-15,Dawn of the Dead,1978,https://letterboxd.com/jojonium/film/dawn-of-the-dead/,4,hooptober4.0,2017-10-14
2017-10-16,Day of the Dead,1985,https://letterboxd.com/jojonium/film/day-of-the-dead/,3,hooptober4.0,2017-10-15
2017-10-16,Don't,2007,https://letterboxd.com/jojonium/film/dont/,3,youtube,2017-10-15
2017-10-16,"It's a Mad, Mad, Mad, Mad World",1963,https://letterboxd.com/jojonium/film/its-a-mad-mad-mad-mad-world/,4,,2017-10-15
2017-10-16,Lifeforce,1985,https://letterboxd.com/jojonium/film/lifeforce/,3,hooptober4.0,2017-10-15
2017-10-17,The Texas Chainsaw Massacre 2,1986,https://letterboxd.com/jojonium/film/the-texas-chainsaw-massacre-2/,3.5,hooptober4.0,2017-10-16
2017-10-18,Necronomicon,1993,https://letterboxd.com/jojonium/film/necronomicon/,3,hooptober4.0,2017-10-17
2017-10-18,Cube,1997,https://letterboxd.com/jojonium/film/cube/,3,,2017-10-17
2017-10-18,The Return of the Living Dead,1985,https://letterboxd.com/jojonium/film/the-return-of-the-living-dead/,3.5,,2017-10-17
2017-10-19,Beyond the Black Rainbow,2010,https://letterboxd.com/jojonium/film/beyond-the-black-rainbow/,2.5,,2017-10-18
2017-10-19,The Deluxe,2016,https://letterboxd.com/jojonium/film/the-deluxe/,1.5,youtube,2017-10-18
2017-10-21,The Naked Gun: From the Files of Police Squad!,1988,https://letterboxd.com/jojonium/film/the-naked-gun-from-the-files-of-police-squad/,4,,2017-10-20
2017-10-21,The Naked Gun 2½: The Smell of Fear,1991,https://letterboxd.com/jojonium/film/the-naked-gun-2-the-smell-of-fear/,3.5,,2017-10-20
2017-10-22,Psycho,1960,https://letterboxd.com/jojonium/film/psycho/,4,hooptober4.0,2017-10-21
2017-10-22,Frankenstein,1931,https://letterboxd.com/jojonium/film/frankenstein-1931/,3.5,hooptober4.0,2017-10-21
2017-10-22,Noroi: The Curse,2005,https://letterboxd.com/jojonium/film/noroi-the-curse/,4,hooptober4.0,2017-10-21
2017-10-22,Unacknowledged,2017,https://letterboxd.com/jojonium/film/unacknowledged/,4,,2017-10-21
2017-10-22,Lake Mungo,2008,https://letterboxd.com/jojonium/film/lake-mungo/,3.5,hooptober4.0,2017-10-21
2017-10-22,2001: The Making of a Myth,2001,https://letterboxd.com/jojonium/film/2001-the-making-of-a-myth/,3,,2017-10-21
2017-10-23,Architects & Engineers: Solving the Mystery of WTC 7,2011,https://letterboxd.com/jojonium/film/architects-engineers-solving-the-mystery-of-wtc-7/,3.5,youtube,2017-10-22
2017-10-23,Skygate 911,2014,https://letterboxd.com/jojonium/film/skygate-911/,3.5,youtube,2017-10-22
2017-10-23,Side Effects,2013,https://letterboxd.com/jojonium/film/side-effects-2013/,4,,2017-10-22
2017-10-23,Stanley Kubrick's Boxes,2008,https://letterboxd.com/jojonium/film/stanley-kubricks-boxes/,3,,2017-10-22
2017-10-23,Possession,1981,https://letterboxd.com/jojonium/film/possession/,4.5,hooptober4.0,2017-10-22
2017-10-23,"Steamboat Bill, Jr.",1928,https://letterboxd.com/jojonium/film/steamboat-bill-jr/,3.5,youtube,2017-10-22
2017-10-23,Occult,2009,https://letterboxd.com/jojonium/film/occult/,3.5,,2017-10-22
2017-10-24,Vanilla Sky,2001,https://letterboxd.com/jojonium/film/vanilla-sky/,3.5,,2017-10-23
2017-10-24,Rosemary's Baby,1968,https://letterboxd.com/jojonium/film/rosemarys-baby/,4.5,hooptober4.0,2017-10-23
2017-10-25,Paths of Glory,1957,https://letterboxd.com/jojonium/film/paths-of-glory/,5,,2017-10-24
2017-10-25,The Conspiracy,2012,https://letterboxd.com/jojonium/film/the-conspiracy/,1.5,,2017-10-24
2017-10-25,The Poughkeepsie Tapes,2007,https://letterboxd.com/jojonium/film/the-poughkeepsie-tapes/,4,hooptober4.0,2017-10-24
2017-10-25,This House Has People in It,2016,https://letterboxd.com/jojonium/film/this-house-has-people-in-it/,3.5,youtube,2017-10-24
2017-10-26,The Raid,2011,https://letterboxd.com/jojonium/film/the-raid-2011/,3.5,,2017-10-25
2017-10-26,The Mummy,1932,https://letterboxd.com/jojonium/film/the-mummy/,2.5,hooptober4.0,2017-10-25
2017-10-27,Cannibal Holocaust,1980,https://letterboxd.com/jojonium/film/cannibal-holocaust/,3,hooptober4.0,2017-10-26
2017-10-28,Dracula,1931,https://letterboxd.com/jojonium/film/dracula/,3,hooptober4.0,2017-10-27
2017-10-30,Phantasm,1979,https://letterboxd.com/jojonium/film/phantasm/,2.5,hooptober4.0,2017-10-29
2017-10-31,Japan: A Story of Love and Hate,2008,https://letterboxd.com/jojonium/film/japan-a-story-of-love-and-hate/,3,youtube,2017-10-30
2017-11-02,The Shining,1980,https://letterboxd.com/jojonium/film/the-shining/,5,"hooptober4.0, beta",2017-10-31
2017-11-03,The Ninth Gate,1999,https://letterboxd.com/jojonium/film/the-ninth-gate/,2,hooptober4.0,2017-11-02
2017-11-03,Good Time,2017,https://letterboxd.com/jojonium/film/good-time/,4,,2017-11-02
2017-11-04,The Mothman Prophecies,2002,https://letterboxd.com/jojonium/film/the-mothman-prophecies/,2.5,beta,2017-11-04
2017-11-05,Kwaidan,1964,https://letterboxd.com/jojonium/film/kwaidan/,3.5,hooptober4.0,2017-11-04
2017-11-06,Waco: The Rules of Engagement,1997,https://letterboxd.com/jojonium/film/waco-the-rules-of-engagement/,3.5,youtube,2017-11-05
2017-11-09,Kill List,2011,https://letterboxd.com/jojonium/film/kill-list/,2.5,,2017-11-08
2017-11-10,Speed Racer,2008,https://letterboxd.com/jojonium/film/speed-racer/,4.5,,2017-11-09
2017-11-10,Death Race 2000,1975,https://letterboxd.com/jojonium/film/death-race-2000/,2.5,,2017-11-09
2017-11-11,I Can See You,2008,https://letterboxd.com/jojonium/film/i-can-see-you/,2.5,,2017-11-10
2017-11-12,This Is Spinal Tap,1984,https://letterboxd.com/jojonium/film/this-is-spinal-tap/,4,beta,2017-11-11
2017-11-12,Blade of the Immortal,2017,https://letterboxd.com/jojonium/film/blade-of-the-immortal/,2.5,,2017-11-11
2017-11-13,The Thief and the Cobbler: Recobbled Cut,2013,https://letterboxd.com/jojonium/film/the-thief-and-the-cobbler-recobbled-cut/,4,youtube,2017-11-12
2017-11-14,The Web,2013,https://letterboxd.com/jojonium/film/the-web-2013/,3,youtube,2017-11-13
2017-11-14,World of Tomorrow,2015,https://letterboxd.com/jojonium/film/world-of-tomorrow/,4,netflix,2017-11-13
