Date,Name,Year,Letterboxd URI
2018-02-27,The Belko Experiment,2016,https://letterboxd.com/film/the-belko-experiment/
2018-03-01,"Papers, Please: The Short Film",2018,https://letterboxd.com/film/papers-please-the-short-film/
2018-03-02,Game Night,2018,https://letterboxd.com/film/game-night/
2018-03-02,Close Encounters of the Third Kind,1977,https://letterboxd.com/film/close-encounters-of-the-third-kind/
2018-03-02,Beverly Hills Cop,1984,https://letterboxd.com/film/beverly-hills-cop/
2018-03-04,Sorcerer,1977,https://letterboxd.com/film/sorcerer/
2018-03-06,Kubo and the Two Strings,2016,https://letterboxd.com/film/kubo-and-the-two-strings/
2018-03-06,The King of Comedy,1982,https://letterboxd.com/film/the-king-of-comedy/
2018-03-07,The Maltese Falcon,1941,https://letterboxd.com/film/the-maltese-falcon-1941/
2018-03-08,Splinter,2008,https://letterboxd.com/film/splinter-2008/
2018-03-10,Like Me,2017,https://letterboxd.com/film/like-me/
2018-03-10,The Descent,2005,https://letterboxd.com/film/the-descent/
2018-03-10,Ravenous,1999,https://letterboxd.com/film/ravenous/
2018-03-11,Gantz:O,2016,https://letterboxd.com/film/gantz-o/
2018-03-11,"Crazy, Stupid, Love.",2011,https://letterboxd.com/film/crazy-stupid-love/
2018-03-12,You Were Never Really Here,2017,https://letterboxd.com/film/you-were-never-really-here/
2018-03-17,Xanadu,1980,https://letterboxd.com/film/xanadu/
2018-03-18,Kick-Ass,2010,https://letterboxd.com/film/kick-ass/
2018-03-19,The Adventures of Baron Munchausen,1988,https://letterboxd.com/film/the-adventures-of-baron-munchausen/
2018-03-21,Barton Fink,1991,https://letterboxd.com/film/barton-fink/
2018-03-22,Time Lapse,2014,https://letterboxd.com/film/time-lapse-2014/
2018-03-23,Spring,2014,https://letterboxd.com/film/spring-2014/
2018-03-23,Take Shelter,2011,https://letterboxd.com/film/take-shelter/
2018-03-24,Short Cuts,1993,https://letterboxd.com/film/short-cuts/
2018-03-24,Flash Gordon,1980,https://letterboxd.com/film/flash-gordon-1980/
2018-03-25,"Hail, Caesar!",2016,https://letterboxd.com/film/hail-caesar-2016/
2018-03-25,"The Good, The Bad, The Weird",2008,https://letterboxd.com/film/the-good-the-bad-the-weird/
2018-03-25,War of the Worlds,2005,https://letterboxd.com/film/war-of-the-worlds/
